City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
111,la mira,18.035,-102.3266,299.41,70,100,0.45,MX,1702257891
112,holualoa,19.6228,-155.9522,299.06,79,40,2.57,US,1702257785
113,mount gambier,-37.8333,140.7667,288.55,93,100,5.78,AU,1702257891
114,eschwege,51.1833,10.0667,283.11,83,100,7.35,DE,1702257891
115,edd,13.9297,41.6925,299.21,61,5,7.21,ER,1702257811
116,lompoc,34.6391,-120.4579,291.23,57,0,2.06,US,1702257521
117,jamestown,42.097,-79.2353,277.92,90,100,3.6,US,1702257719
118,conceicao do araguaia,-8.2578,-49.2647,296.09,95,100,1.9,BR,1702257891
119,calabozo,8.9242,-67.4293,300.58,60,1,3.0,VE,1702257891
120,igarka,67.4667,86.5833,243.21,98,100,2.45,RU,1702257773
121,nuku'alofa,-21.1333,-175.2,301.34,61,40,3.6,TO,1702257810
122,dukhan,25.4297,50.7858,295.32,59,100,3.58,QA,1702257891
123,buguruslan,53.6554,52.442,247.5,94,85,1.94,RU,1702257891
124,talnakh,69.4865,88.3972,246.04,99,100,4.43,RU,1702257757
125,tual,-5.6667,132.75,302.01,78,58,6.56,ID,1702257891
126,novyy buh,47.6931,32.5216,274.79,100,100,3.05,UA,1702257891
127,alajarvi,63.0,23.8167,260.11,97,78,2.14,FI,1702257891
128,ga-kgapane,-23.6333,30.2167,292.02,96,100,1.96,ZA,1702257892
129,gamay,12.3854,125.2979,300.26,88,100,3.64,PH,1702257892
130,kili,5.6439,169.1211,301.28,81,57,6.2,MH,1702257892
131,quiberon,47.4841,-3.1196,287.7,94,100,3.13,FR,1702257892
132,sierra grande,-41.606,-65.3557,293.19,41,96,3.6,AR,1702257892
133,west island,-12.1568,96.8225,300.14,74,75,4.63,CC,1702257766
134,chonchi,-42.6128,-73.8092,285.99,92,100,1.17,CL,1702257769
135,gargalianoi,37.0667,21.6333,283.35,87,100,3.51,GR,1702257892
136,la sarre,48.8002,-79.1996,266.99,89,98,3.46,CA,1702257892
137,gadzhiyevo,69.2551,33.3362,259.25,91,88,7.06,RU,1702257754
138,ronciglione,42.2904,12.2133,279.4,72,71,0.45,IT,1702257892
139,lata,40.1629,-8.3327,288.19,93,59,1.84,PT,1702257892
140,thompson,55.7435,-97.8558,258.24,85,100,0.0,CA,1702257552
141,jiwani,25.05,61.7417,295.95,53,7,3.77,PK,1702257892
142,ilulissat,69.2167,-51.1,271.16,74,100,5.66,GL,1702257539
143,sao joao da barra,-21.6403,-41.0511,296.19,80,60,2.08,BR,1702257892
144,duong dong,10.2167,103.9667,301.15,83,20,3.6,VN,1702257892
145,la'ie,21.6477,-157.9253,302.62,76,20,2.68,US,1702257819
146,al mawsil al jadidah,36.3346,43.0978,286.3,76,96,1.75,IQ,1702257893
147,ust-nera,64.5667,143.2,252.39,98,100,3.92,RU,1702257777
148,woodward,36.4337,-99.3904,277.72,53,0,4.12,US,1702257893
149,konstantinovka,49.6167,127.9833,249.96,82,1,2.96,RU,1702257893
150,sorong,-0.8833,131.25,301.89,72,65,1.88,ID,1702257893
151,kangding,30.0513,101.9603,278.05,80,87,1.64,CN,1702257893
152,kaspiyskiy,45.3929,47.3707,274.72,85,100,7.66,RU,1702257893
153,lubao,14.9167,120.55,302.99,69,82,3.24,PH,1702257893
154,tazacorte,28.629,-17.9293,294.9,39,0,4.02,ES,1702257818
155,sinabang,2.4803,96.3801,298.73,87,100,1.38,ID,1702257893
156,zouerate,22.7187,-12.4521,291.68,21,0,4.91,MR,1702257687
157,flying fish cove,-10.4217,105.6791,300.97,74,40,4.63,CX,1702257893
158,myshkin,57.7897,38.4545,262.49,93,100,4.85,RU,1702257893
159,filadelfia,39.9523,-75.1638,290.46,95,100,5.14,US,1702257780
160,slave lake,55.2834,-114.769,273.14,59,100,7.72,CA,1702257893
161,white river,-25.3318,31.0117,291.64,99,100,0.61,ZA,1702257893
162,oranjemund,-28.55,16.4333,288.82,94,4,3.47,NA,1702257893
163,alofi,-19.0595,-169.9187,298.09,94,100,3.09,NU,1702257893
164,nar'yan-mar,67.6713,53.087,250.43,91,100,4.92,RU,1702257894
165,east london,-33.0153,27.9116,289.43,76,100,1.93,ZA,1702257877
166,nizamabad,18.6667,78.1167,290.33,66,91,1.53,IN,1702257894
167,kristiansund,63.1115,7.732,273.51,74,40,2.57,NO,1702257894
168,keila,59.3036,24.4131,267.61,73,75,3.6,EE,1702257894
169,sinop,41.7711,34.8709,279.17,82,100,3.22,TR,1702257894
170,le port,-20.9373,55.2919,297.15,91,35,2.8,RE,1702257894
171,general levalle,-34.0147,-63.9241,294.61,40,0,4.94,AR,1702257894
